job_id,job_title,salary_usd,experience_level,employment_type,company_size,industry,years_experience,benefits_score,remote_ratio,experience_level_name,employment_type_name,company_size_name
AI03636,NLP Engineer,63660,EN,FL,S,Manufacturing,1,9.4,50,Entry,Freelance,Small
AI03644,Principal Data Scientist,79396,MI,CT,S,Telecommunications,3,5.5,0,Mid-level,Contract,Small
AI03656,Data Scientist,70305,EN,FL,M,Healthcare,0,5.5,50,Entry,Freelance,Medium
AI03702,Robotics Engineer,85084,MI,FL,S,Automotive,3,6.9,0,Mid-level,Freelance,Small
AI03714,AI Specialist,164169,SE,FT,L,Government,5,6.5,0,Senior,Full-Time,Large
AI03733,Robotics Engineer,250761,EX,FL,M,Technology,13,7.9,100,Executive,Freelance,Medium
AI03753,AI Software Engineer,99064,MI,FT,L,Energy,3,6.0,0,Mid-level,Full-Time,Large
AI03844,NLP Engineer,188338,EX,FT,S,Consulting,15,9.3,100,Executive,Full-Time,Small
AI03846,Data Scientist,235929,EX,FT,S,Automotive,19,6.0,50,Executive,Full-Time,Small
AI03855,Autonomous Systems Engineer,156765,SE,FT,M,Consulting,6,5.9,50,Senior,Full-Time,Medium
AI03886,Robotics Engineer,337306,EX,FT,L,Telecommunications,19,7.9,0,Executive,Full-Time,Large
AI03934,Data Analyst,166199,EX,CT,M,Retail,15,8.9,0,Executive,Contract,Medium
AI03940,Data Engineer,111135,MI,FT,S,Gaming,3,5.9,100,Mid-level,Full-Time,Small
AI03947,Data Scientist,165564,SE,FT,M,Transportation,7,6.6,50,Senior,Full-Time,Medium
AI03964,AI Architect,119240,MI,FT,L,Media,4,8.9,0,Mid-level,Full-Time,Large
AI03995,AI Research Scientist,170703,SE,CT,L,Retail,5,6.4,0,Senior,Contract,Large
AI04026,Autonomous Systems Engineer,108449,MI,FL,M,Consulting,2,6.4,50,Mid-level,Freelance,Medium
AI04083,AI Software Engineer,148050,SE,PT,L,Education,7,5.6,50,Senior,Part-Time,Large
AI04103,Data Scientist,175537,SE,CT,L,Telecommunications,5,8.8,100,Senior,Contract,Large
AI04126,Research Scientist,149341,SE,FT,M,Consulting,8,8.4,0,Senior,Full-Time,Medium
AI04147,Robotics Engineer,124928,SE,FT,M,Media,9,6.5,50,Senior,Full-Time,Medium
AI04179,Data Engineer,110554,MI,CT,S,Consulting,3,5.1,100,Mid-level,Contract,Small
AI04245,Principal Data Scientist,169855,SE,FT,M,Technology,7,8.4,100,Senior,Full-Time,Medium
AI04262,AI Architect,160162,EX,FT,M,Telecommunications,14,5.9,0,Executive,Full-Time,Medium
AI04273,AI Product Manager,183624,SE,PT,L,Government,7,8.0,100,Senior,Part-Time,Large
AI04305,Data Analyst,336904,EX,CT,L,Automotive,16,8.3,0,Executive,Contract,Large
AI04311,AI Research Scientist,79685,EN,PT,S,Automotive,0,9.4,0,Entry,Part-Time,Small
AI04314,ML Ops Engineer,213820,EX,FT,M,Transportation,10,5.7,0,Executive,Full-Time,Medium
AI04333,AI Architect,243179,EX,CT,S,Gaming,17,6.7,50,Executive,Contract,Small
AI04349,Principal Data Scientist,128234,MI,PT,L,Finance,4,8.6,0,Mid-level,Part-Time,Large
AI04373,Autonomous Systems Engineer,141172,SE,PT,S,Gaming,8,9.0,0,Senior,Part-Time,Small
AI04408,Robotics Engineer,115416,MI,PT,S,Government,4,7.8,50,Mid-level,Part-Time,Small
AI04451,Head of AI,92711,EN,CT,L,Education,1,9.8,100,Entry,Contract,Large
AI04454,AI Specialist,143776,SE,FT,M,Real Estate,7,5.7,50,Senior,Full-Time,Medium
AI04460,Deep Learning Engineer,133950,SE,CT,S,Consulting,9,8.0,100,Senior,Contract,Small
AI04480,Robotics Engineer,96034,EN,FL,L,Technology,1,7.4,0,Entry,Freelance,Large
AI04492,AI Product Manager,239601,EX,FT,S,Real Estate,13,9.0,50,Executive,Full-Time,Small
AI04511,NLP Engineer,196418,EX,FT,M,Manufacturing,15,9.9,100,Executive,Full-Time,Medium
AI04535,AI Specialist,198536,EX,CT,M,Education,14,8.9,0,Executive,Contract,Medium
AI04543,AI Product Manager,195397,SE,FT,L,Consulting,7,6.7,50,Senior,Full-Time,Large
AI04546,Computer Vision Engineer,152500,SE,FL,M,Education,6,7.0,0,Senior,Freelance,Medium
AI04596,Deep Learning Engineer,204974,EX,CT,S,Media,14,8.3,0,Executive,Contract,Small
AI04668,AI Architect,121527,SE,CT,S,Manufacturing,8,6.2,100,Senior,Contract,Small
AI04708,Machine Learning Researcher,265991,EX,CT,S,Education,17,5.4,0,Executive,Contract,Small
AI04767,AI Product Manager,124367,SE,PT,M,Telecommunications,8,5.6,0,Senior,Part-Time,Medium
AI04786,ML Ops Engineer,262069,EX,CT,S,Education,16,9.0,0,Executive,Contract,Small
AI04801,AI Specialist,106139,MI,FT,M,Government,2,9.7,50,Mid-level,Full-Time,Medium
AI04808,Autonomous Systems Engineer,119986,MI,FT,M,Manufacturing,4,5.0,100,Mid-level,Full-Time,Medium
AI04834,Data Analyst,122001,SE,CT,M,Transportation,6,8.6,100,Senior,Contract,Medium
AI04893,Data Analyst,107436,MI,FL,L,Transportation,4,8.5,0,Mid-level,Freelance,Large
AI04920,Data Engineer,122517,MI,PT,L,Automotive,4,9.3,0,Mid-level,Part-Time,Large
AI04923,Deep Learning Engineer,129699,MI,PT,L,Finance,2,7.1,0,Mid-level,Part-Time,Large
AI04926,AI Software Engineer,123935,MI,FT,L,Government,2,5.6,50,Mid-level,Full-Time,Large
AI04931,AI Architect,121458,SE,CT,S,Government,8,8.9,0,Senior,Contract,Small
AI04945,AI Specialist,120914,MI,FL,M,Automotive,4,7.8,0,Mid-level,Freelance,Medium
AI04984,Research Scientist,139402,SE,PT,M,Retail,6,5.1,0,Senior,Part-Time,Medium
AI04996,AI Specialist,110450,MI,FL,M,Consulting,3,6.5,0,Mid-level,Freelance,Medium
AI05007,Principal Data Scientist,172202,SE,FL,M,Energy,8,6.7,100,Senior,Freelance,Medium
AI05015,NLP Engineer,126229,MI,CT,L,Healthcare,3,9.4,100,Mid-level,Contract,Large
AI05023,AI Architect,104098,MI,FL,L,Consulting,3,7.1,0,Mid-level,Freelance,Large
AI05047,Data Analyst,106633,MI,PT,M,Gaming,4,8.6,100,Mid-level,Part-Time,Medium
AI05064,Data Analyst,66941,EN,FT,M,Automotive,1,8.2,0,Entry,Full-Time,Medium
AI05095,Head of AI,288318,EX,CT,M,Gaming,18,6.3,50,Executive,Contract,Medium
AI05100,Autonomous Systems Engineer,161632,SE,FL,M,Automotive,6,9.4,50,Senior,Freelance,Medium
AI05112,Data Analyst,110448,MI,FL,S,Energy,3,9.1,50,Mid-level,Freelance,Small
AI05118,Robotics Engineer,90425,MI,FT,S,Technology,2,5.6,50,Mid-level,Full-Time,Small
AI05121,AI Research Scientist,69679,EN,PT,M,Energy,1,6.0,0,Entry,Part-Time,Medium
AI05125,Research Scientist,176189,SE,CT,M,Energy,6,5.1,50,Senior,Contract,Medium
AI05138,Head of AI,258989,EX,FT,S,Gaming,16,9.9,0,Executive,Full-Time,Small
AI05153,AI Research Scientist,139872,SE,FT,L,Automotive,6,9.0,100,Senior,Full-Time,Large
AI05176,Machine Learning Researcher,179290,EX,FT,S,Telecommunications,11,8.0,0,Executive,Full-Time,Small
AI05236,Data Analyst,168972,SE,CT,M,Real Estate,8,7.5,50,Senior,Contract,Medium
AI05242,Machine Learning Engineer,136611,SE,FL,M,Retail,5,8.7,50,Senior,Freelance,Medium
AI05261,Research Scientist,130960,SE,FL,M,Energy,9,9.1,0,Senior,Freelance,Medium
AI05274,Data Scientist,152623,SE,PT,M,Real Estate,7,8.4,100,Senior,Part-Time,Medium
AI05283,Data Engineer,69059,EN,FT,M,Media,0,6.7,0,Entry,Full-Time,Medium
AI05301,Computer Vision Engineer,257729,EX,PT,M,Government,12,6.5,100,Executive,Part-Time,Medium
AI05310,Machine Learning Researcher,168195,SE,FL,L,Manufacturing,6,5.4,100,Senior,Freelance,Large
AI05311,ML Ops Engineer,120917,SE,FL,M,Manufacturing,8,8.0,0,Senior,Freelance,Medium
AI05319,Autonomous Systems Engineer,241233,EX,CT,L,Technology,14,7.8,50,Executive,Contract,Large
AI05320,AI Consultant,172071,SE,CT,L,Real Estate,7,5.8,100,Senior,Contract,Large
AI05338,Machine Learning Researcher,91364,EN,PT,L,Education,0,6.9,100,Entry,Part-Time,Large
AI05392,Machine Learning Engineer,120590,SE,FT,M,Finance,8,6.3,50,Senior,Full-Time,Medium
AI05400,Computer Vision Engineer,162870,SE,PT,L,Telecommunications,5,9.3,100,Senior,Part-Time,Large
AI05414,NLP Engineer,177967,EX,CT,S,Retail,10,6.5,100,Executive,Contract,Small
AI05423,AI Consultant,88837,MI,FL,M,Energy,3,8.2,100,Mid-level,Freelance,Medium
AI05427,ML Ops Engineer,69279,EN,FT,S,Gaming,0,6.0,50,Entry,Full-Time,Small
AI05470,Robotics Engineer,81981,MI,FL,S,Telecommunications,3,7.6,100,Mid-level,Freelance,Small
AI05476,Machine Learning Engineer,228744,EX,FT,L,Transportation,17,6.4,0,Executive,Full-Time,Large
AI05480,Deep Learning Engineer,172269,EX,CT,M,Education,18,7.1,100,Executive,Contract,Medium
AI05542,Autonomous Systems Engineer,187719,EX,CT,S,Media,15,7.8,0,Executive,Contract,Small
AI05570,Robotics Engineer,56424,EN,FL,S,Energy,0,5.5,100,Entry,Freelance,Small
AI05581,AI Architect,167167,EX,FT,M,Gaming,15,9.4,100,Executive,Full-Time,Medium
AI05595,ML Ops Engineer,186649,SE,FL,L,Technology,8,6.2,100,Senior,Freelance,Large
AI05596,Robotics Engineer,214097,EX,CT,S,Retail,10,8.0,100,Executive,Contract,Small
AI05601,AI Architect,292471,EX,CT,M,Finance,18,7.4,100,Executive,Contract,Medium
AI05633,AI Specialist,341883,EX,PT,L,Automotive,10,8.8,0,Executive,Part-Time,Large
